wkt,id
"MULTIPOLYGON (((-9.16304047684015 38.7796829482, -9.16483710740839 38.7796829482, -9.16483710740839 38.7810835159685, -9.16304047684015 38.7810835159685, -9.16304047684015 38.7796829482)))",3460
"MULTIPOLYGON (((-9.16124384627191 38.7726796967559, -9.16304047684015 38.7726796967559, -9.16304047684015 38.7740804020573, -9.16124384627191 38.7740804020573, -9.16124384627191 38.7726796967559)))",3208
"MULTIPOLYGON (((-9.15944721570367 38.7740804020573, -9.16124384627191 38.7740804020573, -9.16124384627191 38.7754810798527, -9.15944721570367 38.7754810798527, -9.15944721570367 38.7740804020573)))",3264
"MULTIPOLYGON (((-9.15585395456719 38.7782823529244, -9.15765058513543 38.7782823529244, -9.15765058513543 38.7796829482, -9.15585395456719 38.7796829482, -9.15585395456719 38.7782823529244)))",3418
"MULTIPOLYGON (((-9.15585395456719 38.7796829482, -9.15765058513543 38.7796829482, -9.15765058513543 38.7810835159685, -9.15585395456719 38.7810835159685, -9.15585395456719 38.7796829482)))",3464
"MULTIPOLYGON (((-9.16483710740839 38.7810835159685, -9.16663373797663 38.7810835159685, -9.16663373797663 38.7824840562296, -9.16483710740839 38.7824840562296, -9.16483710740839 38.7810835159685)))",3500
"MULTIPOLYGON (((-9.16483710740839 38.7824840562296, -9.16663373797663 38.7824840562296, -9.16663373797663 38.7838845689828, -9.16483710740839 38.7838845689828, -9.16483710740839 38.7824840562296)))",3540
"MULTIPOLYGON (((-9.16663373797663 38.7838845689828, -9.16843036854486 38.7838845689828, -9.16843036854486 38.785285054228, -9.16663373797663 38.785285054228, -9.16663373797663 38.7838845689828)))",3574
"MULTIPOLYGON (((-9.17741352138606 38.7558690877803, -9.1792101519543 38.7558690877803, -9.1792101519543 38.7572701231303, -9.17741352138606 38.7572701231303, -9.17741352138606 38.7558690877803)))",2479
"MULTIPOLYGON (((-9.1881933047955 38.7488634985042, -9.18998993536373 38.7488634985042, -9.18998993536373 38.7502646713618, -9.1881933047955 38.7502646713618, -9.1881933047955 38.7488634985042)))",2147
"MULTIPOLYGON (((-9.18639667422726 38.7502646713618, -9.1881933047955 38.7502646713618, -9.1881933047955 38.7516658167186, -9.18639667422726 38.7516658167186, -9.18639667422726 38.7502646713618)))",2214
"MULTIPOLYGON (((-9.18998993536373 38.7460610702872, -9.19178656593197 38.7460610702872, -9.19178656593197 38.7474622981459, -9.18998993536373 38.7474622981459, -9.18998993536373 38.7460610702872)))",2016
"MULTIPOLYGON (((-9.19178656593197 38.7446598149285, -9.19358319650021 38.7446598149285, -9.19358319650021 38.7460610702872, -9.19178656593197 38.7460610702872, -9.19178656593197 38.7446598149285)))",1951
"MULTIPOLYGON (((-9.19717645763669 38.7418572217123, -9.19897308820493 38.7418572217123, -9.19897308820493 38.7432585320702, -9.19717645763669 38.7432585320702, -9.19717645763669 38.7418572217123)))",1823
"MULTIPOLYGON (((-9.19537982706845 38.7432585320702, -9.19717645763669 38.7432585320702, -9.19717645763669 38.7446598149285, -9.19537982706845 38.7446598149285, -9.19537982706845 38.7432585320702)))",1886
"MULTIPOLYGON (((-9.19358319650021 38.7446598149285, -9.19537982706845 38.7446598149285, -9.19537982706845 38.7460610702872, -9.19358319650021 38.7460610702872, -9.19358319650021 38.7446598149285)))",1950
"MULTIPOLYGON (((-9.1702269991131 38.7376531256452, -9.17202362968134 38.7376531256452, -9.17202362968134 38.7390545184995, -9.1702269991131 38.7390545184995, -9.1702269991131 38.7376531256452)))",1657
"MULTIPOLYGON (((-9.1702269991131 38.7390545184995, -9.17202362968134 38.7390545184995, -9.17202362968134 38.7404558838553, -9.1702269991131 38.7404558838553, -9.1702269991131 38.7390545184995)))",1717
"MULTIPOLYGON (((-9.17202362968134 38.7376531256452, -9.17382026024958 38.7376531256452, -9.17382026024958 38.7390545184995, -9.17202362968134 38.7390545184995, -9.17202362968134 38.7376531256452)))",1656
"MULTIPOLYGON (((-9.17382026024958 38.7390545184995, -9.17561689081782 38.7390545184995, -9.17561689081782 38.7404558838553, -9.17382026024958 38.7404558838553, -9.17382026024958 38.7390545184995)))",1715
"MULTIPOLYGON (((-9.17561689081782 38.7404558838553, -9.17741352138606 38.7404558838553, -9.17741352138606 38.7418572217123, -9.17561689081782 38.7418572217123, -9.17561689081782 38.7404558838553)))",1774
"MULTIPOLYGON (((-9.17741352138606 38.7404558838553, -9.1792101519543 38.7404558838553, -9.1792101519543 38.7418572217123, -9.17741352138606 38.7418572217123, -9.17741352138606 38.7404558838553)))",1773
"MULTIPOLYGON (((-9.1792101519543 38.7418572217123, -9.18100678252254 38.7418572217123, -9.18100678252254 38.7432585320702, -9.1792101519543 38.7432585320702, -9.1792101519543 38.7418572217123)))",1833
"MULTIPOLYGON (((-9.1702269991131 38.7362517052926, -9.17202362968134 38.7362517052926, -9.17202362968134 38.7376531256452, -9.1702269991131 38.7376531256452, -9.1702269991131 38.7362517052926)))",1598
"MULTIPOLYGON (((-9.16843036854486 38.734850257442, -9.1702269991131 38.734850257442, -9.1702269991131 38.7362517052926, -9.16843036854486 38.7362517052926, -9.16843036854486 38.734850257442)))",1540
